order,phase,side,action,champion
1,BAN_PHASE_1,RED,BAN,Nocturne
2,BAN_PHASE_1,BLUE,BAN,Cassiopeia
3,BAN_PHASE_1,RED,BAN,Poppy
4,BAN_PHASE_1,BLUE,BAN,Vi
5,BAN_PHASE_1,RED,BAN,Ryze
6,BAN_PHASE_1,BLUE,BAN,Lee Sin
7,PICK_PHASE_1,RED,PICK,Orianna
8,PICK_PHASE_1,BLUE,PICK,Ezreal
9,PICK_PHASE_1,BLUE,PICK,Jarvan IV
10,PICK_PHASE_1,RED,PICK,Xin Zhao
11,PICK_PHASE_1,RED,PICK,Olaf
12,PICK_PHASE_1,BLUE,PICK,Trundle
13,BAN_PHASE_2,BLUE,BAN,Lucian
14,BAN_PHASE_2,RED,BAN,Karma
15,BAN_PHASE_2,BLUE,BAN,Lulu
16,BAN_PHASE_2,RED,BAN,Seraphine
17,PICK_PHASE_2,BLUE,PICK,Syndra
18,PICK_PHASE_2,RED,PICK,Caitlyn
19,PICK_PHASE_2,RED,PICK,Bard
20,PICK_PHASE_2,BLUE,PICK,Nautilus
