phase,side,action,champion,order,game_id,series_id,game_number,date,patch,blue_team,red_team,first_pick_side,fearless_unavailable,blue_win_rate_before,red_win_rate_before,blue_side_win_rate_before,red_side_win_rate_before,blue_patch_win_rate_before,red_patch_win_rate_before,blue_h2h_win_rate_before,red_h2h_win_rate_before,winner_side,winner_team,acting_side_won
BAN_PHASE_1,RED,BAN,Neeko,1,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
BAN_PHASE_1,BLUE,BAN,Jayce,2,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_1,RED,BAN,Vi,3,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
BAN_PHASE_1,BLUE,BAN,Azir,4,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_1,RED,BAN,Sylas,5,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
BAN_PHASE_1,BLUE,BAN,Orianna,6,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
PICK_PHASE_1,RED,PICK,Malphite,7,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
PICK_PHASE_1,BLUE,PICK,Rumble,8,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
PICK_PHASE_1,BLUE,PICK,Wukong,9,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
PICK_PHASE_1,RED,PICK,Yunara,10,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
